study_hours,attendance,assignment_score,result
6,78,31,Pass
3,79,40,Fail
10,53,93,Pass
7,71,50,Pass
4,90,47,Pass
6,100,93,Pass
9,77,67,Pass
2,72,61,Fail
6,62,40,Pass
10,54,74,Pass
10,72,62,Pass
7,64,70,Pass
4,56,37,Fail
3,72,40,Fail
7,86,80,Pass
7,94,70,Pass
2,41,46,Fail
5,53,75,Pass
4,92,61,Pass
1,79,83,Pass
7,79,49,Pass
5,90,62,Pass
1,78,69,Fail
4,90,61,Pass
0,45,31,Fail
9,45,62,Pass
5,42,59,Pass
8,46,62,Pass
0,90,55,Fail
10,47,51,Pass
10,81,95,Pass
9,91,67,Pass
2,54,75,Fail
6,86,44,Pass
3,68,73,Pass
8,72,78,Pass
2,91,90,Pass
4,69,96,Pass
2,78,35,Fail
6,66,38,Pass
4,75,35,Fail
8,68,61,Pass
6,77,70,Pass
1,96,37,Fail
3,72,79,Pass
8,100,91,Pass
1,76,91,Pass
9,66,36,Pass
8,94,33,Pass
9,72,35,Pass
4,43,87,Pass
1,61,51,Fail
3,41,55,Fail
6,49,32,Fail
7,44,70,Pass
2,98,89,Pass
0,49,43,Fail
3,72,41,Fail
1,93,41,Fail
7,77,42,Pass
3,52,54,Fail
1,70,74,Fail
5,86,48,Pass
5,75,84,Pass
9,84,74,Pass
3,63,37,Fail
5,91,82,Pass
1,95,84,Pass
9,54,61,Pass
1,68,80,Fail
9,47,73,Pass
3,44,99,Pass
7,68,47,Pass
6,86,51,Pass
8,43,66,Pass
7,51,85,Pass
4,84,88,Pass
1,41,32,Fail
4,66,57,Pass
7,70,64,Pass
9,90,90,Pass
8,90,83,Pass
8,75,92,Pass
0,75,36,Fail
8,65,78,Pass
6,82,60,Pass
8,66,87,Pass
7,44,90,Pass
0,59,53,Fail
7,50,49,Pass
7,49,66,Pass
10,79,33,Pass
2,77,49,Fail
0,45,89,Fail
7,47,53,Pass
2,62,79,Pass
2,86,78,Pass
0,65,80,Fail
10,85,65,Pass
4,82,95,Pass
9,51,63,Pass
6,65,65,Pass
9,52,35,Pass
8,79,68,Pass
6,57,71,Pass
8,64,87,Pass
7,72,41,Pass
1,86,32,Fail
0,79,47,Fail
6,99,69,Pass
6,82,50,Pass
7,51,44,Pass
4,83,55,Pass
2,75,37,Fail
7,87,71,Pass
5,43,73,Pass
10,44,43,Pass
2,95,31,Fail
0,76,66,Fail
2,47,98,Pass
4,81,67,Pass
2,88,70,Pass
0,67,91,Fail
4,70,89,Pass
9,97,43,Pass
6,48,31,Fail
6,93,99,Pass
10,90,46,Pass
8,68,57,Pass
9,53,95,Pass
9,79,64,Pass
2,80,34,Fail
6,61,94,Pass
0,50,69,Fail
3,62,85,Pass
3,40,65,Fail
4,85,74,Pass
6,76,52,Pass
6,60,76,Pass
10,65,60,Pass
3,85,40,Fail
6,75,39,Pass
10,93,96,Pass
2,62,43,Fail
5,96,39,Pass
1,40,30,Fail
9,93,34,Pass
8,94,49,Pass
4,90,37,Pass
5,79,72,Pass
3,54,30,Fail
10,60,86,Pass
9,86,93,Pass
6,48,57,Pass
8,92,66,Pass
6,48,76,Pass
0,49,66,Fail
0,91,78,Fail
8,96,73,Pass
10,92,85,Pass
8,65,57,Pass
3,80,35,Fail
8,74,90,Pass
2,91,49,Fail
6,64,31,Pass
5,65,66,Pass
7,50,49,Pass
10,77,55,Pass
8,41,58,Pass
4,46,30,Fail
0,57,64,Fail
2,66,99,Pass
9,73,88,Pass
7,66,98,Pass
10,56,62,Pass
5,82,80,Pass
7,98,41,Pass
8,83,49,Pass
3,98,82,Pass
0,90,72,Fail
0,93,79,Fail
9,63,58,Pass
3,64,86,Pass
6,46,68,Pass
1,91,85,Pass
2,45,72,Fail
0,92,79,Fail
4,63,52,Fail
0,72,73,Fail
7,88,67,Pass
0,68,52,Fail
10,82,74,Pass
0,61,81,Fail
1,65,79,Fail
1,67,37,Fail
5,89,30,Pass
6,60,37,Pass
4,88,58,Pass
0,46,34,Fail
0,56,76,Fail
2,59,63,Fail
1,80,94,Pass
4,88,84,Pass
9,59,72,Pass
5,93,59,Pass
6,61,46,Pass
3,67,55,Fail
6,100,37,Pass
10,79,76,Pass
7,88,75,Pass
10,46,97,Pass
0,40,62,Fail
5,71,30,Fail
7,52,48,Pass
4,69,60,Pass
3,62,43,Fail
1,90,82,Pass
5,98,77,Pass
5,95,98,Pass
10,58,91,Pass
0,71,95,Fail
8,69,93,Pass
10,68,99,Pass
5,88,92,Pass
2,84,62,Pass
3,68,70,Pass
10,69,77,Pass
3,55,42,Fail
2,79,60,Fail
9,58,97,Pass
2,57,33,Fail
2,40,48,Fail
3,53,99,Pass
6,90,42,Pass
3,86,52,Pass
8,89,30,Pass
0,41,83,Fail
7,93,100,Pass
6,67,44,Pass
1,88,94,Pass
7,89,100,Pass
0,69,44,Fail
10,77,50,Pass
8,90,48,Pass
8,43,89,Pass
1,40,62,Fail
6,47,78,Pass
9,68,64,Pass
2,94,73,Pass
6,78,40,Pass
9,42,95,Pass
8,71,75,Pass
3,49,38,Fail
0,49,32,Fail
1,58,55,Fail
0,85,77,Fail
4,73,95,Pass
4,99,99,Pass
10,72,57,Pass
6,62,55,Pass
8,94,54,Pass
8,67,41,Pass
2,71,34,Fail
2,89,77,Pass
2,46,66,Fail
3,68,73,Pass
7,47,44,Pass
5,40,72,Pass
7,96,77,Pass
0,94,99,Pass
7,42,75,Pass
3,63,72,Pass
10,62,50,Pass
0,98,52,Fail
7,100,76,Pass
3,47,44,Fail
5,93,54,Pass
7,96,65,Pass
3,86,80,Pass
2,76,44,Fail
8,42,97,Pass
2,90,50,Fail
8,72,42,Pass
1,67,48,Fail
1,86,63,Fail
1,47,97,Fail
5,73,81,Pass
2,74,56,Fail
8,71,58,Pass
3,63,57,Fail
0,53,64,Fail
3,71,37,Fail
0,95,45,Fail
4,85,65,Pass
3,82,59,Pass
7,55,47,Pass
7,43,31,Pass
6,91,78,Pass
2,76,33,Fail
0,93,36,Fail
0,60,68,Fail
10,53,42,Pass
2,70,60,Fail
5,94,100,Pass
6,87,92,Pass
5,57,85,Pass
5,46,71,Pass
5,49,90,Pass
2,46,71,Fail
5,72,85,Pass
7,62,65,Pass
10,60,97,Pass
10,58,36,Pass
1,87,83,Pass
4,100,30,Pass
0,58,73,Fail
0,75,74,Fail
4,68,76,Pass
2,99,42,Fail
3,57,51,Fail
2,41,50,Fail
0,40,38,Fail
0,86,55,Fail
4,44,38,Fail
5,59,44,Pass
2,50,39,Fail
8,81,71,Pass
4,41,53,Fail
7,42,78,Pass
0,62,55,Fail
4,94,66,Pass
2,51,97,Pass
0,59,79,Fail
3,44,53,Fail
4,76,48,Pass
6,77,89,Pass
0,69,68,Fail
2,48,47,Fail
1,73,48,Fail
8,92,65,Pass
9,83,84,Pass
5,74,98,Pass
9,91,76,Pass
2,97,78,Pass
7,61,62,Pass
7,83,50,Pass
1,63,51,Fail
5,56,77,Pass
6,49,66,Pass
1,69,44,Fail
10,95,64,Pass
9,98,100,Pass
1,85,61,Fail
9,62,40,Pass
0,71,39,Fail
7,56,86,Pass
0,89,54,Fail
8,90,31,Pass
10,56,93,Pass
5,53,64,Pass
6,48,36,Fail
9,79,47,Pass
6,41,96,Pass
9,84,71,Pass
2,64,68,Fail
1,78,70,Fail
8,48,53,Pass
7,93,89,Pass
9,61,75,Pass
6,82,48,Pass
8,85,97,Pass
3,43,71,Fail
3,65,61,Fail
0,97,68,Fail
7,68,65,Pass
2,84,65,Pass
6,73,32,Pass
1,62,37,Fail
1,76,99,Pass
6,50,70,Pass
5,45,97,Pass
2,57,42,Fail
8,60,78,Pass
9,81,89,Pass
5,75,31,Fail
9,80,89,Pass
9,77,34,Pass
5,73,73,Pass
0,56,56,Fail
3,76,61,Pass
9,64,50,Pass
5,77,37,Pass
5,97,79,Pass
10,51,96,Pass
4,62,73,Pass
0,92,87,Pass
7,81,32,Pass
4,61,99,Pass
4,60,31,Fail
6,66,73,Pass
3,96,31,Fail
5,70,64,Pass
3,45,59,Fail
2,66,37,Fail
6,79,51,Pass
7,73,73,Pass
3,51,87,Pass
1,84,65,Fail
9,96,98,Pass
2,92,60,Pass
0,46,76,Fail
7,49,84,Pass
2,84,91,Pass
9,56,59,Pass
6,65,84,Pass
9,60,45,Pass
4,67,41,Fail
9,97,46,Pass
4,85,45,Pass
6,41,41,Fail
8,99,37,Pass
4,93,32,Pass
0,82,45,Fail
9,40,59,Pass
9,90,52,Pass
0,92,34,Fail
1,75,94,Pass
5,90,59,Pass
8,65,50,Pass
7,68,99,Pass
4,60,51,Fail
0,50,61,Fail
6,79,62,Pass
4,50,45,Fail
5,75,67,Pass
6,88,43,Pass
2,98,65,Pass
9,78,52,Pass
2,79,95,Pass
4,74,31,Fail
5,93,94,Pass
8,73,96,Pass
4,94,81,Pass
0,86,91,Pass
3,63,52,Fail
4,93,55,Pass
9,61,97,Pass
9,44,84,Pass
4,95,35,Pass
6,72,64,Pass
3,97,51,Pass
0,75,72,Fail
4,86,44,Pass
6,59,89,Pass
9,58,41,Pass
9,74,78,Pass
5,91,71,Pass
4,82,67,Pass
3,56,74,Pass
1,98,64,Pass
3,84,59,Pass
9,82,59,Pass
9,73,35,Pass
2,48,96,Pass
9,65,36,Pass
0,41,81,Fail
7,92,43,Pass
4,48,44,Fail
3,48,50,Fail
7,79,64,Pass
6,56,95,Pass
1,40,31,Fail
0,64,64,Fail
10,100,49,Pass
3,82,39,Fail
7,79,54,Pass
1,81,95,Pass
2,64,54,Fail
0,78,83,Fail
0,74,62,Fail
2,42,65,Fail
10,89,43,Pass
4,76,94,Pass
2,83,83,Pass
0,83,81,Fail
0,90,32,Fail
7,69,70,Pass
9,77,35,Pass
10,73,54,Pass
1,51,42,Fail
2,58,37,Fail
1,76,50,Fail
2,83,97,Pass
6,98,54,Pass
0,98,97,Pass
9,88,74,Pass
7,100,89,Pass
9,56,41,Pass
9,49,61,Pass
9,96,42,Pass
1,94,60,Fail
2,88,49,Fail
8,86,47,Pass
6,51,89,Pass
3,55,92,Pass
9,63,35,Pass
4,58,61,Pass
1,47,72,Fail
10,70,31,Pass
7,60,89,Pass
3,56,52,Fail
8,62,60,Pass
4,76,34,Fail
8,93,63,Pass
3,55,39,Fail
9,45,31,Pass
4,47,40,Fail
8,64,79,Pass
7,57,60,Pass
2,64,85,Pass
0,51,38,Fail
2,54,50,Fail
3,98,57,Pass
1,65,91,Pass
0,80,36,Fail
6,84,45,Pass
7,65,33,Pass
6,86,33,Pass
4,71,69,Pass
0,49,46,Fail
6,55,81,Pass
6,46,81,Pass
8,56,65,Pass
2,62,67,Fail
8,65,79,Pass
0,60,92,Fail
0,61,92,Fail
3,97,91,Pass
8,46,36,Pass
5,53,56,Pass
10,54,43,Pass
2,92,100,Pass
0,46,34,Fail
3,48,84,Pass
8,90,31,Pass
2,87,91,Pass
8,47,50,Pass
6,89,50,Pass
3,98,39,Pass
2,62,87,Pass
9,68,68,Pass
4,57,34,Fail
4,70,94,Pass
2,69,42,Fail
8,91,82,Pass
3,78,74,Pass
10,74,61,Pass
4,57,65,Pass
3,98,89,Pass
4,81,40,Pass
6,78,92,Pass
8,56,50,Pass
6,53,81,Pass
4,70,84,Pass
9,63,55,Pass
9,74,97,Pass
6,83,63,Pass
9,99,81,Pass
4,84,81,Pass
2,73,58,Fail
6,42,67,Pass
10,76,71,Pass
10,82,50,Pass
1,79,71,Fail
8,65,42,Pass
9,94,93,Pass
9,62,46,Pass
0,83,38,Fail
5,78,70,Pass
6,54,30,Fail
7,95,31,Pass
9,88,89,Pass
8,43,77,Pass
1,68,58,Fail
10,61,39,Pass
9,64,87,Pass
1,52,89,Fail
4,57,50,Fail
4,72,57,Pass
5,55,63,Pass
2,84,37,Fail
7,81,88,Pass
0,83,78,Fail
5,41,46,Fail
3,94,89,Pass
0,74,74,Fail
6,81,98,Pass
8,73,61,Pass
3,69,73,Pass
3,98,94,Pass
5,94,37,Pass
2,52,72,Fail
5,52,30,Fail
6,57,80,Pass
10,71,53,Pass
9,71,53,Pass
9,74,46,Pass
2,98,34,Fail
6,78,49,Pass
2,85,50,Fail
1,91,87,Pass
9,68,60,Pass
3,88,40,Fail
7,68,81,Pass
8,92,44,Pass
6,83,36,Pass
0,96,57,Fail
2,55,80,Fail
8,95,87,Pass
0,83,34,Fail
8,86,34,Pass
7,96,37,Pass
0,49,93,Fail
5,69,39,Pass
4,64,67,Pass
5,78,37,Pass
9,59,54,Pass
4,44,95,Pass
5,40,79,Pass
4,69,96,Pass
10,88,78,Pass
4,42,65,Fail
3,84,97,Pass
2,53,70,Fail
2,95,91,Pass
3,69,39,Fail
8,89,50,Pass
1,43,65,Fail
8,57,41,Pass
0,76,31,Fail
0,64,42,Fail
4,87,82,Pass
5,40,61,Pass
5,92,45,Pass
2,85,61,Fail
6,54,61,Pass
8,48,40,Pass
10,54,39,Pass
9,88,44,Pass
7,96,46,Pass
5,63,69,Pass
7,43,47,Pass
4,51,84,Pass
7,98,54,Pass
9,97,88,Pass
3,76,51,Fail
9,100,59,Pass
7,76,73,Pass
9,82,61,Pass
1,99,80,Pass
4,45,75,Pass
8,78,50,Pass
3,95,61,Pass
10,85,68,Pass
5,63,41,Pass
0,50,76,Fail
8,52,47,Pass
0,73,50,Fail
4,64,42,Fail
3,46,50,Fail
2,91,37,Fail
5,43,75,Pass
1,98,36,Fail
2,47,52,Fail
4,59,51,Fail
8,68,51,Pass
1,93,58,Fail
9,92,42,Pass
7,90,31,Pass
1,84,58,Fail
10,85,81,Pass
4,49,56,Fail
6,82,79,Pass
7,73,52,Pass
0,96,73,Fail
5,65,51,Pass
0,80,72,Fail
1,88,66,Fail
0,97,90,Pass
10,42,85,Pass
4,95,32,Pass
9,45,92,Pass
8,44,48,Pass
5,44,52,Fail
10,93,58,Pass
10,86,59,Pass
0,62,68,Fail
0,88,54,Fail
1,48,37,Fail
8,74,87,Pass
2,59,45,Fail
0,97,30,Fail
4,88,34,Pass
6,100,32,Pass
5,98,94,Pass
0,81,33,Fail
4,74,93,Pass
4,89,39,Pass
5,57,50,Pass
2,56,75,Fail
4,63,56,Pass
6,42,95,Pass
4,71,70,Pass
4,74,42,Fail
4,77,38,Fail
9,52,65,Pass
9,95,87,Pass
2,100,83,Pass
0,86,41,Fail
4,64,43,Fail
8,48,63,Pass
0,43,82,Fail
2,53,49,Fail
3,76,45,Fail
0,73,99,Pass
0,50,85,Fail
7,80,87,Pass
1,95,33,Fail
7,42,33,Pass
6,98,49,Pass
9,67,39,Pass
9,68,53,Pass
1,48,55,Fail
5,42,66,Pass
5,64,83,Pass
2,73,50,Fail
10,51,67,Pass
1,81,75,Fail
0,48,33,Fail
5,54,89,Pass
4,79,86,Pass
10,64,74,Pass
8,44,49,Pass
0,50,46,Fail
6,98,100,Pass
4,73,33,Fail
4,63,43,Fail
1,99,32,Fail
10,54,87,Pass
2,77,84,Pass
6,47,33,Fail
5,98,53,Pass
1,44,63,Fail
5,87,59,Pass
1,65,48,Fail
1,57,60,Fail
1,45,89,Fail
10,76,89,Pass
2,99,48,Fail
1,87,78,Pass
3,52,92,Pass
8,67,51,Pass
5,44,53,Fail
0,52,59,Fail
7,56,87,Pass
6,89,60,Pass
9,79,93,Pass
2,84,48,Fail
0,71,77,Fail
4,68,74,Pass
3,90,84,Pass
9,97,84,Pass
7,42,47,Pass
0,95,92,Pass
9,79,76,Pass
